"gene","log2FC"
"NEDD8-MDP1",2.02703496514701
"STK19P",2.02585576417518
"RP5-1125A11.1",2.02576381066402
"CTA-293F17.1",2.02329541595418
"RP11-680F20.6",2.02258169992973
"RP11-407G23.1",2.0213630624726
"ST3GAL6-AS1",2.01856294071103
"AC007690.1",2.01736096340735
"RP11-355B11.2",2.01614218721143
"RP11-118F19.1",2.01530576810207
"MRC1L1",2.01491707226512
"RPL7AP39",2.01476911477238
"CTD-3018O17.3",2.01071097058019
"LINC03018",2.01035985395992
"VSTM5",2.00737494554971
"CSPG4P10",2.0063157121979
"MURC",2.00451220599862
"C17orf104",2.00247897783796
"CTD-2162K18.5",2.00243669627433
"AF064858.8",2.00167932814483
"PALM2-AKAP2",1.99964999822747
"AC113134.1",1.99754007203473
"MARS",1.99408090419716
"CNTN4-AS1",1.99370020336425
"TMEM191C",1.99350202347868
"RP5-914P20.5",1.99196321948817
"GOLGA8Q",1.99138717397865
"RP11-480I12.7",1.98930343649007
"RP11-956E11.1",1.98693272755385
"RP11-463D19.2",1.98442511769379
"ADPGK-AS1",1.98409506340039
"AF196972.9",1.9839589809339
"RP11-321N4.5",1.98338249313035
"TRGV1",1.98284816471102
"PGA5",1.98160773966576
"HNRNPA1P41",1.98156696961054
"AC003002.4",1.98132488763895
"WASF4P",1.97789961590838
"RP11-59E19.1",1.97465440178196
"AC090616.2",1.96601188404748
"LL09NC01-251B2.3",1.96566559655178
"SCARNA9|SCARNA9L",1.96167511466975
"RP11-161M6.3",1.96075595183593
"RP11-618G20.1",1.96018940558501
"RP11-398K22.12",1.96008361884516
"AC006942.4",1.96003722384643
"AC010729.1",1.95924129581875
"LOC102724482",1.95865733268798
"OR2T6",1.95758186140161
"RP11-111F5.4",1.95675279993707
"RP11-702B10.2",1.9560521314004
"TRGV10",1.95536912053776
"RP11-120D5.1",1.95368049712797
"FAM26D",1.9535502052006
"RP11-465B22.3",1.95314218701781
"RP11-290F5.2",1.95194571324881
"AC007040.11",1.94960928384204
"RP11-16E12.2",1.94771687172325
"ZNF763_1",1.946111577793
"RP11-12J10.3",1.94020594521132
"LOC102724929",1.93853394030286
"LINC02268",1.93628572597235
"RP11-426L16.10",1.93419553885696
"PTGES3P1",1.93296626166996
"NDUFB8_2",1.9329184510304
"RP11-383C5.4",1.93204478200958
"RP11-403B2.7",1.93124585334174
"RP11-486O13.2",1.93074301498647
"AC093375.1",1.92984491791222
"PI4K2A_1",1.92951648544071
"RP11-10N23.2",1.92728979416564
"CTD-2517O10.6",1.92246977529378
"AC068039.4",1.92235636935723
"RP1-178F15.5",1.92208766155949
"RP11-703I16.1",1.92099642997019
"SCARNA7",1.92014275907432
"RP11-287D1.3",1.91977859547797
"RP11-180P8.1",1.91858765331458
"RP11-162D16.2",1.91688533173035
"FCGR2C",1.91657525144565
"MTRNR2L10",1.91420215924005
"AC006547.14",1.91265273351471
"RP5-1158E12.3",1.90855909040044
"GPR128",1.9000712266272
"RP11-324H6.5",1.89997538683358
"ZNF8_1",1.89835229845323
"RP11-27I1.4",1.89675813603206
"RP11-217E13.1",1.89378633719372
"RP11-121A8.1",1.89306583292207
"CTB-55O6.4",1.8916802090067
"CCDC195",1.89162435543334
"LINC00598",1.8896521348662
"RP11-1114A5.4",1.88833359567326
"AC002451.3",1.8874169169144
"LL22NC03-80A10.6",1.88715494133821
"CTD-3138B18.5",1.88713359939358
"KIAA0391_2",1.88596223828283
"LINC00106",1.88455194820692
"FAM35BP",1.88409407355812
"RP11-419C5.2",1.88392472877577
"RP11-224O19.2",1.88328066470027
"RP1-137K2.2",1.88212720870142
"LINC00426",1.88187277267736
"SNAP25-AS1",1.88057748055519
"RP5-952N6.1",1.88034589792041
"AC006129.2",1.87694216524852
"RP13-188A5.1",1.876233434884
"AL450992.2",1.87307711475455
"RP11-848P1.9",1.87019466882855
"RP11-274B18.2",1.8700897765466
"CTD-2228K2.5",1.86988261079167
"NPIPB1P",1.86693549647226
"U91328.19",1.86317202695163
"RP11-707P17.2",1.86063005490371
"AC026150.6",1.85898519431647
"ZNF295-AS1",1.85641325130505
"RP11-86H7.7",1.8562989365702
"C1orf143",1.85550642087957
"CTD-3194G12.2",1.85501977895115
"RP11-203E8.1",1.85364964254675
"RP4-784A16.5",1.85033585223265
"CTD-2116N17.1",1.84980637521265
"RPL7AP16",1.84951787381361
"MRPL45P2",1.84876067828051
"RP11-324C10.1",1.84605969836844
"RP11-166P13.3",1.84536321356665
"RP11-17E2.2",1.84530031720411
"AP001007.1",1.84365284216495
"RP11-266O8.1",1.84235830127565
"RP11-541F9.2",1.8401531130836
"CTC-260E6.6",1.83988238600942
"AC018766.4",1.83926843692998
"LTBP1.1",1.83594624671641
"RP11-875O11.1",1.83567653940354
"OR4E1",1.83560006349672
"RP5-1053E7.3",1.83486654976325
"INTS4L1",1.83468605380316
"FOCAD-AS1",1.83393020708663
"AC005550.4",1.83357527636687
"RP11-266N13.2",1.83167947359383
"AC002116.7",1.8309243051063
"EMR4P",1.8297261136141
"RP11-661P17.1",1.82847334703456
"AP001257.1",1.82710752691311
"RP11-134D3.1",1.82526718332872
"PGA4",1.82443986762184
"C1orf204",1.82203185726831
"DYDC2",1.82166583904745
